 0.2548729  1.0172471       1 
 0.3493009  1.0451711	    1 
 0.4210662  1.0123194	    1 
 0.3228611  0.9630418	    1 
 0.3568552  0.9334753	    1 
 0.5608197  0.9613992	    1 
 0.6136994  1.0057490	    1 
 0.6967961  1.0468137	    1 
 0.7836699  1.0993764	    1 
 0.6401393  1.1404411	    1 
 0.04351973 1.125658	    0 
 0.21332454 1.107589	    0 
 0.32663819 1.125658	    0 
 0.41728911 1.156867	    0 
 0.53060275 1.214357	    0 
 0.40218062 1.255422	    0 
 0.62503079 1.220928	    0 
 0.74967581 1.225856	    0 
 0.69301898 1.281703	    0 
 0.47394593 1.229141	    0 


















